                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5749,                  1.447,                 1.4852,                0.55088,                0.41921,                 0.3748,                0.17003,                 1.8835,                 1.7369,                 1.7619,               0.067264,             0.00033067,             0.00033067
                      2,                 1.5911,                  1.485,                  1.489,                0.50689,                0.36004,                0.31242,                  0.148,                 1.8839,                 1.7428,                  1.718,               0.034251,             0.00065085,             0.00065085
                      3,                 1.6256,                 1.5457,                 1.5217,                0.36367,                0.37523,                0.34828,                0.16046,                 1.9332,                 1.7186,                 1.8208,              0.0012245,             0.00095784,             0.00095784
                      4,                 1.6568,                 1.5781,                 1.5346,                0.50224,                0.33964,                0.32164,                0.14916,                 1.9211,                 1.7774,                 1.8292,              0.0009406,              0.0009406,              0.0009406
                      5,                  1.648,                 1.5621,                 1.5416,                0.44704,                0.32251,                0.30144,                0.13972,                 1.9055,                 1.9437,                 1.8364,              0.0009208,              0.0009208,              0.0009208
                      6,                   1.65,                 1.5728,                 1.5405,                0.56388,                0.39237,                0.35892,                0.16176,                 1.9416,                 1.7049,                 1.8294,               0.000901,               0.000901,               0.000901
                      7,                 1.6576,                 1.5461,                 1.5472,                0.32072,                0.38652,                0.34151,                0.15512,                 1.9895,                 1.7998,                  1.872,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.6351,                 1.5425,                 1.5429,                0.51203,                0.40079,                0.34136,                0.15967,                 1.8603,                 1.6969,                 1.8182,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.6474,                 1.5321,                 1.5359,                0.40474,                0.39641,                0.37484,                0.17434,                 1.9142,                 1.7236,                 1.7973,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.6375,                 1.5289,                 1.5295,                0.52904,                0.38535,                0.37881,                  0.178,                 1.8746,                  1.663,                  1.789,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.6276,                 1.5081,                 1.5292,                0.58957,                0.39902,                0.40787,                0.18878,                 1.8974,                 1.6838,                 1.8191,               0.000802,               0.000802,               0.000802
                     12,                 1.6204,                 1.5041,                  1.528,                0.54918,                0.43054,                0.36902,                0.17389,                 1.8677,                  1.707,                 1.8014,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.5995,                  1.504,                 1.5123,                0.56493,                0.48533,                0.44024,                0.20923,                 1.8598,                 1.5655,                 1.7608,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.6025,                 1.4973,                 1.5219,                0.54444,                0.39161,                0.34994,                0.15862,                 1.8678,                 1.6836,                 1.7986,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.6053,                 1.4787,                 1.5131,                 0.5605,                0.44735,                0.38635,                 0.1854,                  1.833,                 1.6779,                 1.7415,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.6018,                  1.488,                 1.5156,                0.53397,                0.39769,                0.37802,                0.17219,                 1.8647,                 1.7288,                 1.8202,               0.000703,               0.000703,               0.000703
                     17,                 1.5702,                 1.4581,                 1.4992,                0.48251,                0.43325,                0.33685,                0.16054,                 1.8706,                 1.6901,                 1.7969,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.5925,                 1.4707,                 1.5059,                0.54593,                0.42205,                0.37811,                 0.1799,                 1.8071,                  1.623,                 1.7571,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.5701,                 1.4474,                 1.4998,                0.45825,                0.41621,                0.42572,                0.20246,                 1.8446,                  1.601,                 1.7679,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.5773,                 1.4419,                 1.4981,                0.52986,                0.47364,                0.42612,                0.20276,                 1.8225,                 1.5829,                 1.7606,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.5502,                 1.4233,                 1.4768,                0.36816,                0.43894,                0.39048,                0.18315,                 1.8328,                 1.5798,                 1.7599,               0.000604,               0.000604,               0.000604
